group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9941082000732422,-0.9941813945770264|-0.994035005569458,Canonical,,(play_game charlie soccer),0.951501727104187,0.951501727104187,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9938882291316986,-0.9940316677093506|-0.9937447905540466,Canonical,,(play_game charlie soccer),0.9494420886039734,0.9494420886039734,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952602982521057,-0.9962912201881409|-0.9942293763160706,Canonical,,(play_game charlie soccer),0.9530256390571594,0.9530256390571594,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952401518821716,-0.9964305758476257|-0.9940497279167175,Canonical,,(play_game charlie soccer),0.9537542462348938,0.9537542462348938,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9939343333244324,-0.9941150546073914|-0.9937536120414734,Canonical,,(play_game charlie soccer),0.9493380188941956,0.9493380188941956,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.994064450263977,-0.9941014647483826|-0.9940274357795715,Canonical,,(play_game charlie soccer),0.9516026377677917,0.9516026377677917,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952695667743683,-0.9963991045951843|-0.9941400289535522,Canonical,,(play_game charlie soccer),0.9535579085350037,0.9535579085350037,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952321648597717,-0.9963216781616211|-0.9941426515579224,Canonical,,(play_game charlie soccer),0.9532284140586853,0.9532284140586853,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9440412918726603,-0.9531465172767639|-0.9568806886672974|-0.9220966696739197,Canonical,-0.02493971586227417,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8326289653778076,0.9119029641151428|0.8032343983650208|0.8326289653778076,,0.8032343983650208,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9119029641151428
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9587734142939249,-0.9754323959350586|-0.9224306344985962|-0.9784572124481201,Canonical,-0.017937928438186646,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8882337808609009,0.941382884979248|0.870960533618927|0.8882337808609009,,0.870960533618927,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.941382884979248
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9441054662068685,-0.9535452127456665|-0.956540584564209|-0.92223060131073,Canonical,-0.024871766567230225,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8322880268096924,0.9117615222930908|0.8025580644607544|0.8322880268096924,,0.8025580644607544,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9117615222930908
