group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,manner_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9909890294075012,-0.986562967300415|-0.9954150915145874,Canonical,,(play_game charlie soccer),0.9673869013786316,0.9673869013786316,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,train,boy plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9258946577707926,-0.993134081363678|-0.9882010817527771|-0.7963488101959229,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8132199048995972,0.9805195331573486|0.747950553894043|0.8132199048995972,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|football|badly,
Word,word_group,train,boy plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.7766196926434835,-0.624897837638855|-0.9365367293357849|-0.7684245109558105,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6368017792701721,0.900631308555603|0.6526930332183838|0.6368017792701721,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|football|well,
Word,word_group,train,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9911631941795349,-0.9869458675384521|-0.9953805208206177,Canonical,,(play_game charlie soccer),0.9673427939414978,0.9673427939414978,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,train,charlie plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9261507391929626,-0.9936431646347046|-0.9889082908630371|-0.7959007620811462,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8136008977890015,0.9807548522949219|0.7481551766395569|0.8136008977890015,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|soccer|badly,
Word,word_group,train,charlie plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.7857206662495931,-0.6464328169822693|-0.939972996711731|-0.770756185054779,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6389102935791016,0.9024468064308167|0.6530591249465942|0.6389102935791016,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|soccer|well,
Word,word_group,train,football is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.926278551419576,-0.9935122728347778|-0.9885895252227783|-0.7967338562011719,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8113670945167542,0.9786747694015503|0.7452462315559387|0.8113670945167542,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|boy,
Word,word_group,train,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9907270073890686,-0.9858552813529968|-0.9955987334251404,Canonical,,(play_game charlie soccer),0.958788275718689,0.958788275718689,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,train,football is played well by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.77697225411733,-0.6292396187782288|-0.933228075504303|-0.768449068069458,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6053687930107117,0.8573015332221985|0.6191213726997375|0.6053687930107117,,,,1,3,3,,,,False,1.0,-0.8903494675954183,football|is|played|well|by|boy,
Word,word_group,train,soccer is played badly by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9266921281814575,-0.9940251111984253|-0.9892880916595459|-0.7967631816864014,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8114668726921082,0.9784939885139465|0.7450639605522156|0.8114668726921082,,,,1,3,3,,,,False,1.0,-0.9427472352981567,soccer|is|played|badly|by|charlie,
Word,word_group,train,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9911870360374451,-0.9866414666175842|-0.9957326054573059,Canonical,,(play_game charlie soccer),0.957373321056366,0.957373321056366,,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Word,word_group,train,soccer is played well by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.7855032483736674,-0.6487519145011902|-0.9364948868751526|-0.7712629437446594,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.60459965467453,0.854954719543457|0.6164681911468506|0.60459965467453,,,,1,3,3,,,,False,1.0,-0.8903494675954183,soccer|is|played|well|by|charlie,
Word,word_group,test,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9910153746604919,-0.9866684079170227|-0.9953623414039612,Canonical,,(play_game charlie soccer),0.9671496748924255,0.9671496748924255,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,test,boy plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9262002309163412,-0.9937630891799927|-0.9890692234039307|-0.7957683801651001,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8135619163513184,0.9807754755020142|0.7480257153511047|0.8135619163513184,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|soccer|badly,
