group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9947623312473297,-0.9947308897972107|-0.9947937726974487,Canonical,,(play_game charlie soccer),0.9594138264656067,0.9594138264656067,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9948163628578186,-0.9947346448898315|-0.9948980808258057,Canonical,,(play_game charlie soccer),0.960224449634552,0.960224449634552,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9939065873622894,-0.9941658973693848|-0.9936472773551941,Canonical,,(play_game charlie soccer),0.9612776041030884,0.9612776041030884,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9940123856067657,-0.994317352771759|-0.9937074184417725,Canonical,,(play_game charlie soccer),0.9613672494888306,0.9613672494888306,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9948656857013702,-0.9948176741600037|-0.9949136972427368,Canonical,,(play_game charlie soccer),0.9600557684898376,0.9600557684898376,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9947132170200348,-0.9946481585502625|-0.9947782754898071,Canonical,,(play_game charlie soccer),0.9595959782600403,0.9595959782600403,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9940099716186523,-0.994318962097168|-0.9937009811401367,Canonical,,(play_game charlie soccer),0.961349368095398,0.961349368095398,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9939081072807312,-0.9941635727882385|-0.9936526417732239,Canonical,,(play_game charlie soccer),0.9612879753112793,0.9612879753112793,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9510838389396667,-0.9675625562667847|-0.9522209167480469|-0.9334680438041687,Canonical,-0.021106749773025513,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8306509256362915,0.9160856604576111|0.787429690361023|0.8306509256362915,,0.787429690361023,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9160856604576111
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9469683369000753,-0.96430903673172|-0.9125673770904541|-0.9640285968780518,Canonical,-0.02162182331085205,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8651720285415649,0.9269108772277832|0.8466768264770508|0.8651720285415649,,0.8466768264770508,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9269108772277832
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9514072140057882,-0.9679000973701477|-0.9526597261428833|-0.9336618185043335,Canonical,-0.02118656039237976,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8303225040435791,0.916553795337677|0.7864643335342407|0.8303225040435791,,0.7864643335342407,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.916553795337677
Sentence,sentence_group,train,charlie loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9473677078882853,-0.9645198583602905|-0.9141785502433777|-0.9634047150611877,Canonical,-0.021654337644577026,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8656256198883057,0.926748514175415|0.8478114008903503|0.8656256198883057,,0.8478114008903503,0,3,3,,,,True,1.0,-0.9643286069234213,charlie|loses|to|sophia,0.926748514175415
Sentence,sentence_group,train,heidi beats boy,(win charlie)|(win sophia)|(lose heidi),-0.976706306139628,-0.9489076733589172|-0.9919607639312744|-0.9892504811286926,Canonical,-0.02897334098815918,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9079084396362305,0.9601796269416809|0.9135839343070984|0.9079084396362305,,0.9135839343070984,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|boy,0.9601796269416809
Sentence,sentence_group,train,heidi beats charlie,(win charlie)|(win sophia)|(lose heidi),-0.9769396980603536,-0.9494134187698364|-0.9920729994773865|-0.9893326759338379,Canonical,-0.028902709484100342,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9082213640213013,0.9603582620620728|0.9138898849487305|0.9082213640213013,,0.9138898849487305,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|charlie,0.9603582620620728
Sentence,sentence_group,train,heidi loses to boy,(lose charlie)|(win heidi)|(win sophia),-0.9680859843889872,-0.9628828167915344|-0.9799032211303711|-0.9614719152450562,Canonical,-0.06614115834236145,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7032898664474487,0.9197485446929932|0.6191135048866272|0.7032898664474487,,0.6191135048866272,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|boy,0.9197485446929932
